collected_at,combo_index,corner_targets,match_wall_s,matched_targets,params,reid_estimated_time_s,reid_failures,repaired_targets,score_primary,score_time_s,score_tuple,stable_left,stable_right,stage,survey_detect_wall_s,survey_grouping_time_s,survey_yolo_time_s,target_classes,targets_hit_like,targets_usable,trial,truth_correct,winner_agree_count,winner_agree_rate,chosen_id_correct_nearest,chosen_id_correct_nearest_rate,chosen_id_correct_constellation,chosen_id_correct_constellation_rate,avg_pred_target_error_mm,avg_truth_target_error_mm
2026-04-26T13:08:10,8,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},2046.289516,0,None,10,2046.289516,[-2, -10, -1.0, -0.9166666666666666, 2046.289516],None,None,reid,None,None
2026-04-26T13:08:21,9,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},9.319848,0,None,10,9.319848,[-2, -10, -1.0, -0.9166666666666666, 9.319848],None,None,reid,None,None
2026-04-26T13:08:32,10,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.939946,0,None,10,8.939946,[-2, -10, -1.0, -0.9166666666666666, 8.939946],None,None,reid,None,None
2026-04-26T13:08:43,11,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},9.275945,0,None,10,9.275945,[-2, -10, -1.0, -0.9166666666666666, 9.275945],None,None,reid,None,None
2026-04-26T13:08:53,12,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.698146,0,None,10,8.698146,[-2, -10, -1.0, -0.9166666666666666, 8.698146],None,None,reid,None,None
2026-04-26T13:09:04,13,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.657907,0,None,10,8.657907,[-2, -10, -1.0, -0.9166666666666666, 8.657907],None,None,reid,None,None
2026-04-26T13:09:14,14,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.998272,0,None,10,8.998272,[-2, -10, -1.0, -0.9166666666666666, 8.998272],None,None,reid,None,None
2026-04-26T13:09:25,15,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.650347,0,None,10,8.650347,[-2, -10, -1.0, -0.9166666666666666, 8.650347],None,None,reid,None,None
2026-04-26T13:09:35,16,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.608365,0,None,10,8.608365,[-2, -10, -1.0, -0.9166666666666666, 8.608365],None,None,reid,None,None
2026-04-26T13:09:46,17,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.639872,0,None,10,8.639872,[-2, -10, -1.0, -0.9166666666666666, 8.639872],None,None,reid,None,None
2026-04-26T13:09:56,18,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.554188,0,None,10,8.554188,[-2, -10, -1.0, -0.9166666666666666, 8.554188],None,None,reid,None,None
2026-04-26T13:10:06,19,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.562297,0,None,10,8.562297,[-2, -10, -1.0, -0.9166666666666666, 8.562297],None,None,reid,None,None
2026-04-26T13:10:17,20,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.659334,0,None,10,8.659334,[-2, -10, -1.0, -0.9166666666666666, 8.659334],None,None,reid,None,None
2026-04-26T13:10:27,21,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.595583,0,None,10,8.595583,[-2, -10, -1.0, -0.9166666666666666, 8.595583],None,None,reid,None,None
