t,x,y,theta,v,w
18.136,-0.1218,0.0002,-0.0285,0.000,0.000
18.143,-0.1218,0.0002,-0.0285,0.000,-0.002
18.151,-0.1218,0.0002,-0.0286,0.000,-0.002
18.158,-0.1218,0.0002,-0.0287,0.001,-0.014
18.166,-0.1218,0.0002,-0.0288,0.001,-0.014
18.173,-0.1217,0.0002,-0.0289,0.001,-0.014
18.180,-0.1217,0.0002,-0.0292,0.000,-0.039
18.188,-0.1217,0.0002,-0.0295,0.000,-0.039
18.195,-0.1217,0.0002,-0.0299,0.000,-0.058
18.204,-0.1217,0.0002,-0.0304,0.000,-0.058
18.212,-0.1217,0.0002,-0.0309,0.000,-0.058
18.220,-0.1217,0.0002,-0.0314,0.000,-0.067
18.228,-0.1217,0.0002,-0.0319,0.000,-0.067
18.236,-0.1217,0.0002,-0.0324,0.000,-0.067
18.244,-0.1218,0.0002,-0.0331,-0.001,-0.079
18.251,-0.1218,0.0002,-0.0336,-0.001,-0.079
18.258,-0.1218,0.0002,-0.0343,0.000,-0.094
18.267,-0.1218,0.0002,-0.0351,0.000,-0.094
18.275,-0.1218,0.0002,-0.0359,0.000,-0.094
18.283,-0.1218,0.0002,-0.0368,0.001,-0.104
18.291,-0.1217,0.0002,-0.0376,0.001,-0.104
18.298,-0.1218,0.0002,-0.0384,-0.001,-0.115
18.306,-0.1218,0.0002,-0.0393,-0.001,-0.115
18.313,-0.1218,0.0002,-0.0401,-0.001,-0.115
18.321,-0.1218,0.0002,-0.0411,0.000,-0.128
18.329,-0.1218,0.0002,-0.0421,0.000,-0.128
18.338,-0.1218,0.0002,-0.0433,0.000,-0.129
18.346,-0.1218,0.0002,-0.0443,0.000,-0.129
18.353,-0.1218,0.0002,-0.0453,0.000,-0.129
18.361,-0.1218,0.0002,-0.0462,-0.001,-0.129
18.368,-0.1218,0.0002,-0.0472,-0.001,-0.129
18.376,-0.1218,0.0002,-0.0482,-0.001,-0.129
18.383,-0.1218,0.0002,-0.0491,0.000,-0.122
18.390,-0.1218,0.0002,-0.0499,0.000,-0.122
18.397,-0.1218,0.0002,-0.0508,-0.001,-0.117
18.405,-0.1218,0.0002,-0.0517,-0.001,-0.117
18.413,-0.1218,0.0002,-0.0526,-0.001,-0.117
18.420,-0.1218,0.0002,-0.0533,0.000,-0.109
18.428,-0.1218,0.0002,-0.0543,0.000,-0.109
18.436,-0.1218,0.0002,-0.0551,0.000,-0.109
18.443,-0.1218,0.0002,-0.0558,0.000,-0.095
